 1,   0,  -1,   -1,   4.125,  63.473,    0.000,   -0.6,  -1.3,   1.0,   0.0,  0.0,  0.0
 3,   1,   0,   11,   1.441,  29.615,   14.808,   -2.2,  -8.3,  -5.9,  -3.2,-14.1,-13.8
 3,   2,   1,   11,   1.441,  29.615,   44.423,   -5.4, -22.4, -19.6,  -3.2,-14.1,-13.8
 3,   3,   2,   18,   1.009,  38.155,   78.308,  -14.0, -38.1, -34.9, -14.0,-17.2,-16.8
 3,   4,   3,   20,   0.720,  17.561,  106.166,  -21.4, -48.0, -34.9,  -0.9, -2.6, 16.8
 3,   5,   4,   42,   0.400,  39.445,  134.669,  -33.9, -50.5, -27.8, -24.0, -2.4, -2.6
 3,   6,   5,   42,   0.400,  39.445,  174.114,  -57.9, -52.9, -30.4, -24.0, -2.4, -2.6
 3,   7,   6,   57,   0.247,  47.424,  217.549,  -71.3, -65.9, -31.3,  -2.7,-23.7,  0.8
 3,   8,   7,   57,   0.247,  47.424,  264.973,  -73.9, -89.6, -30.5,  -2.7,-23.7,  0.8
 3,   9,   8,   57,   0.247,  47.424,  312.396,  -76.6,-113.3, -29.7,  -2.7,-23.7,  0.8
 3,  10,   4,   59,   0.560,   6.433,  118.163,  -24.6, -50.7, -26.5,  -5.5, -2.8,  0.0
 3,  11,  10,   67,   0.560,  23.955,  133.358,  -28.3, -60.1, -27.8,  -1.9,-16.1, -2.5
 3,  12,  11,   69,   0.524,  16.258,  153.465,  -32.0, -74.8, -32.0,  -5.5,-13.3, -6.0
 3,  13,  12,   72,   0.400,   8.275,  165.731,  -36.2, -85.2, -35.0,  -3.0, -7.4,  0.0
 3,  14,  13,   75,   0.400,  14.488,  177.113,  -40.2, -94.1, -30.8,  -4.9,-10.5,  8.5
 3,  15,  14,  106,   0.240,  41.870,  205.292,  -44.2,-111.3, -27.8,  -3.1,-24.0, -2.5
 3,  16,  15,  106,   0.240,  41.870,  247.162,  -47.3,-135.3, -30.3,  -3.1,-24.0, -2.5
 3,  17,  16,  106,   0.240,  41.870,  289.032,  -50.4,-159.3, -32.8,  -3.1,-24.0, -2.5
 3,  18,  17,  106,   0.240,  41.870,  330.903,  -53.5,-183.3, -35.3,  -3.1,-24.0, -2.5
 3,  19,  14,  141,   0.240,  39.007,  203.860,  -45.4,-108.6, -30.4,  -5.7,-18.7, -7.9
 3,  20,  19,  141,   0.240,  39.007,  242.868,  -51.1,-127.3, -38.3,  -5.7,-18.7, -7.9
 3,  21,  20,  141,   0.240,  39.007,  281.875,  -56.8,-145.9, -46.2,  -5.7,-18.7, -7.9
 3,  22,  21,  141,   0.240,  39.007,  320.882,  -62.4,-164.6, -54.1,  -5.7,-18.7, -7.9
 3,  23,  13,  144,   0.400,   9.883,  174.810,  -36.4, -92.3, -33.8,   2.8, -7.0,  2.5
 3,  24,  23,  170,   0.245,  44.024,  201.764,  -31.4,-109.9, -38.3,   7.2,-28.2,-11.5
 3,  25,  24,  170,   0.245,  44.024,  245.788,  -24.2,-138.1, -49.8,   7.2,-28.2,-11.5
 3,  26,  25,  170,   0.245,  44.024,  289.812,  -17.0,-166.3, -61.3,   7.2,-28.2,-11.5
 3,  27,  11,  183,   0.240,  32.862,  161.767,  -35.7, -77.5, -27.8, -12.9,-18.7,  2.5
 3,  28,  27,  219,   0.398,  45.449,  200.922,  -47.0,-100.0, -29.2,  -9.7,-26.2, -5.3
 3,  29,  28,  219,   0.398,  45.449,  246.371,  -56.8,-126.2, -34.5,  -9.7,-26.2, -5.3
 3,  30,  29,  219,   0.398,  45.449,  291.819,  -66.5,-152.4, -39.8,  -9.7,-26.2, -5.3
 3,  31,  30,  219,   0.398,  45.449,  337.268,  -76.3,-178.7, -45.1,  -9.7,-26.2, -5.3
 3,  32,  10,  222,   0.523,  16.769,  129.765,  -30.8, -55.7, -24.3,  -6.8, -7.2,  4.5
 3,  33,  32,  223,   0.400,   0.488,  138.393,  -34.3, -59.6, -22.0,  -0.2, -0.4,  0.0
 3,  34,  33,  225,   0.400,  15.444,  146.359,  -32.3, -63.4, -15.5,   4.2, -7.2, 13.0
 3,  35,  34,  253,   0.242,  41.098,  174.630,  -33.4, -81.9,  -8.3,  -6.6,-29.9,  1.4
 3,  36,  35,  253,   0.242,  41.098,  215.727,  -40.0,-111.7,  -6.9,  -6.6,-29.9,  1.4
 3,  37,  36,  253,   0.242,  41.098,  256.825,  -46.5,-141.6,  -5.5,  -6.6,-29.9,  1.4
 3,  38,  37,  253,   0.242,  41.098,  297.923,  -53.1,-171.5,  -4.1,  -6.6,-29.9,  1.4
 3,  39,  38,  253,   0.242,  41.098,  339.020,  -59.6,-201.3,  -2.7,  -6.6,-29.9,  1.4
 3,  40,  33,  279,   0.400,  41.090,  159.182,  -41.8, -74.9, -19.1, -14.7,-30.2,  5.9
 3,  41,  40,  279,   0.400,  41.090,  200.272,  -56.5,-105.0, -13.2, -14.7,-30.2,  5.9
 3,  42,  41,  279,   0.400,  41.090,  241.361,  -71.2,-135.2,  -7.3, -14.7,-30.2,  5.9
 3,  43,  42,  279,   0.400,  41.090,  282.451,  -85.9,-165.4,  -1.5, -14.7,-30.2,  5.9
 3,  44,   3,  299,   0.240,  47.859,  121.315,  -22.0, -61.7, -32.1,  -1.9,-30.0, 22.4
 3,  45,  44,  299,   0.240,  47.859,  169.174,  -23.9, -91.7,  -9.7,  -1.9,-30.0, 22.4
